Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Parent,Parent summary,Status Category
cart,PROJ-11,10097,Story,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:31 PM,14/Feb/23 3:31 PM,14/Feb/23 3:31 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000k7:,,,,10088,Homepage,To Do
search,PROJ-10,10096,Story,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:30 PM,14/Feb/23 3:31 PM,23/Feb/23 2:54 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000jz:,,,,10088,Homepage,To Do
select product,PROJ-9,10095,Story,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:30 PM,14/Feb/23 3:31 PM,23/Feb/23 2:54 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000jr:,,,,10088,Homepage,To Do
scroll,PROJ-8,10094,Story,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:30 PM,14/Feb/23 3:31 PM,14/Feb/23 3:31 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000jj:,,,,10088,Homepage,To Do
Navigation bar,PROJ-7,10093,Story,Done,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:30 PM,14/Feb/23 3:35 PM,23/Feb/23 2:54 PM,14/Feb/23 3:35 PM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000ip:,PROJ Sprint 1,,,10088,Homepage,Done
click continue button,PROJ-6,10092,Story,Done,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:25 PM,14/Feb/23 3:35 PM,23/Feb/23 2:54 PM,14/Feb/23 3:35 PM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000ir:,PROJ Sprint 1,,,10087,Login,Done
enter password,PROJ-5,10091,Story,Done,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:25 PM,14/Feb/23 3:35 PM,23/Feb/23 2:54 PM,14/Feb/23 3:35 PM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000iv:,PROJ Sprint 1,,,10087,Login,Done
enter email ID,PROJ-4,10090,Story,Done,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,Done,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:24 PM,14/Feb/23 3:35 PM,23/Feb/23 2:50 PM,14/Feb/23 3:35 PM,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000in:,PROJ Sprint 1,,,10087,Login,Done
Products,PROJ-3,10089,Epic,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:22 PM,14/Feb/23 3:22 PM,23/Feb/23 2:54 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000if:,,,,,,To Do
Homepage,PROJ-2,10088,Epic,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:22 PM,14/Feb/23 3:22 PM,23/Feb/23 2:54 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000i7:,,,,,,To Do
Login,PROJ-1,10087,Epic,To Do,PROJ,project1,software,sathish kumar,634e3b4776b91b62562b5740,,Medium,,,,sathish kumar,634e3b4776b91b62562b5740,sathish kumar,634e3b4776b91b62562b5740,14/Feb/23 3:21 PM,14/Feb/23 3:21 PM,23/Feb/23 2:54 PM,,,0,,,sathish kumar,634e3b4776b91b62562b5740,,,,,,,,,{},,0|i000hz:,,,,,,To Do
